price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
1090000,0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class
224000,110608,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015.0,White, Dubai,S 63 Coupe AMG,mercedes-benz,s-class-coupe
30000,130969,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2012.0,White, Dubai,Ecoboost,lincoln,mkt
574000,29000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014.0,Red, Dubai,Other,ferrari,458-italia
190000,34000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,CLA250,mercedes-benz,cla
125000,94000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2018.0,Gold, Sharjah,Super Safari,nissan,patrol
36000,162579,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014.0,Blue, Dubai,LTZ,chevrolet,traverse
33000,162000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2013.0,Black, Abu Dhabi,Other,ford,mustang
470000,18347,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2019.0,Grey, Dubai,GTS,porsche,carrera
600000,16000,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,2019.0,Silver, Dubai,M5 Competition,bmw,m5
24500,193752,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2009.0,Black, Abu Dhabi,Denali,gmc,yukon
23000,105000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2004.0,Black, Sharjah,1/2 Ultra,lexus,ls-series
62000,150950,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6,Automatic Transmission,North American Specs,Unknown,Diesel,Left Hand Side,2015.0,Yellow, Dubai,RS,chevrolet,camaro
35500,70000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016.0,Blue, Dubai,LE,renault,captur
91000,218000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014.0,White, Dubai,Premium,lexus,gx-series
1149000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,,Grey, Dubai,G 63 AMG,mercedes-benz,g-class
34000,89000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2004.0,Black, Abu Dhabi,3/4 Ultra,lexus,ls-series
59900,138117,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016.0,Black, Dubai,SE,toyota,camry
159000,97500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009.0,White, Dubai,Carrera,porsche,carrera
89000,70000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014.0,White, Dubai,Xdrive50i,bmw,x5
980000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class
58000,133919,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014.0,White, Dubai,Limited,dodge,durango
459999,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2021.0,Brown, Dubai,Other,land-rover,defender
205000,116242,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018.0,Grey, Dubai,GXR,toyota,land-cruiser
135000,66000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc
