price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
38000,231174,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,Grey, Dubai,Other,volkswagen,touareg
269000,151000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2015.0,Blue, Dubai,SVR,land-rover,range-rover-sport
70000,114269,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,Grey, Dubai,SV,nissan,pathfinder
518500,9831,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2020.0,Grey, Dubai,Other,mercedes-benz,s-class
379000,20000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,S,porsche,cayenne
127000,48577,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,Red, Abu Dhabi,Other,lexus,is-series
29000,150000,"No accidents, very few faults","Minor faults, all fixed",Owner,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2008.0,Black, Abu Dhabi,LTZ,chevrolet,tahoe
168500,45000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,Grey, Dubai,320i Executive,bmw,3-series
95000,200000,"No accidents, very few faults",Perfect inside and out,Owner,Wagon,8,Automatic Transmission,Japanese Specs,500 - 600 HP,Gasoline,Left Hand Side,2012.0,White, Dubai,E 63 AMG,mercedes-benz,e-class
270900,69000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018.0,Brown, Dubai,R-Dynamic,land-rover,range-rover-velar
60000,136000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Manual Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,White, Abu Dhabi,Sahara,jeep,wrangler
134999,58714,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,Black, Dubai,Sport,jeep,wrangler
129999,17457,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,C300 Luxury,mercedes-benz,c-class
169000,15000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,CLA250,mercedes-benz,cla
1150000,80,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,Green, Dubai,G 63 AMG,mercedes-benz,g-class
400000,0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Other,400 - 500 HP,Gasoline,Left Hand Side,,Grey, Dubai,Other,mercedes-benz,e-class
455000,32000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,Japanese Specs,400 - 500 HP,Gasoline,Left Hand Side,2010.0,Red, Dubai,Standard,ferrari,f430
34200,186000,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2013.0,Silver, Dubai,GL,hyundai,veloster
101000,72452,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015.0,White, Dubai,GXR,toyota,land-cruiser
58000,184000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2012.0,Black, Sharjah,Standard,infiniti,qx56
199000,64000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,10,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2011.0,White, Dubai,Other,audi,r8
64000,138000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,White, Dubai,Dynamic,land-rover,range-rover-evoque
590000,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,mercedes-benz,gle-coupe
121000,47408,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2017.0,Grey, Abu Dhabi,Cooper S,mini,countryman
138500,115729,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015.0,Gold, Dubai,Other,porsche,cayenne
20000,192014,"A bit of wear & tear, all repaired",Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2010.0,Black, Sharjah,XLI,toyota,corolla
36000,159000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,Black, Dubai,Standard,ford,mustang
695000,100,Perfect inside and out,Perfect inside and out,Owner,Van,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,Black, Dubai,V 250,mercedes-benz,v-class
99000,35000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,Grey, Dubai,Adventure,toyota,hilux
610000,8000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,X5M Competition,bmw,x5
189000,24995,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,GLC 250 4MATIC,mercedes-benz,glc
229000,90000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018.0,Grey, Sharjah,R-Dynamic,land-rover,range-rover-velar
27500,119000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2016.0,Grey, Dubai,ES,mitsubishi,lancer
1749000,3000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,2021.0,Blue, Dubai,Other,lamborghini,urus
21500,112000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2013.0,Black, Dubai,Other,volkswagen,jetta
49000,110000,Perfect inside and out,Perfect inside and out,Owner,Crossover,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015.0,Silver, Dubai,SE,nissan,x-trail
83500,106008,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016.0,Blue, Abu Dhabi,R/T Plus,dodge,charger
25900,236360,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,SV,nissan,sunny
125000,56616,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,Grey, Dubai,Other,dodge,charger
45000,154000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015.0,Grey, Dubai,GLS,mitsubishi,pajero
45000,182000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2017.0,Black, Dubai,SE,nissan,altima
23000,198716,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2008.0,Silver, Dubai,C200,mercedes-benz,c-class
17000,207061,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2012.0,Brown, Dubai,Standard,mazda,6
195000,55000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,Other,200 - 300 HP,Gasoline,Left Hand Side,2020.0,White, Sharjah,F Sport,lexus,rx-series
850000,24130,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Manual Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2008.0,Red, Dubai,Other,porsche,carrera
51500,410052,Perfect inside and out,Perfect inside and out,Dealer,Van,4,Manual Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,PV TOP,toyota,hiace
159000,23000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2021.0,Red, Dubai,Overland,jeep,gladiator
128000,125000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2017.0,Black, Sharjah,xDrive35i,bmw,x5
25500,128000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2013.0,Black, Sharjah,Premium,ford,mustang
30000,237617,Perfect inside and out,Perfect inside and out,Owner,Utility Truck,4,Automatic Transmission,GCC Specs,Less than 150 HP,Diesel,Left Hand Side,2018.0,White, Dubai,Standard,peugeot,expert
25000,375000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Manual Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2013.0,White, Sharjah,Other,nissan,pickup
129000,19000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,Grey, Ajman,3.8 V6 4WD,hyundai,palisade
180000,181878,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2013.0,White, Abu Dhabi,G 63 AMG,mercedes-benz,g-class
183000,31000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,F Sport,lexus,rx-series
148000,125564,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,audi,q7
18000,153050,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2007.0,Black, Dubai,LE,nissan,armada
79900,117000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,Coupe,nissan,370z
52000,85000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,Less than 150 HP,Gasoline,Left Hand Side,2017.0,Blue, Dubai,Other,hyundai,tucson
210000,91000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Other,porsche,macan
459900,20000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018.0,Silver, Dubai,G 63 AMG,mercedes-benz,g-class
89900,65000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019.0,Red, Dubai,Other,mazda,cx-5
170000,104326,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2017.0,Black, Dubai,Other,cadillac,escalade
25000,184404,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2007.0,Gold, Dubai,Other,mercedes-benz,cl-class
215000,82000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018.0,White, Sharjah,S,porsche,cayman
35000,96000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2016.0,White, Sharjah,SV,nissan,maxima
82000,105329,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Blue, Dubai,Other,audi,q7
32000,98000,Perfect inside and out,Perfect inside and out,Owner,Van,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2012.0,Silver, Dubai,SV,nissan,quest
6000,2559000,"A bit of wear & tear, all repaired","Minor faults, all fixed",Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2007.0,Black, Ajman,S,nissan,altima
42000,180000,"A bit of wear & tear, all repaired",Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2009.0,Black, Abu Dhabi,ML 63 AMG,mercedes-benz,m-class
63000,91000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2017.0,White, Sharjah,R/T Plus,dodge,challenger
599000,26000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2013.0,Red, Dubai,Berlinetta,ferrari,f12
39500,90000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015.0,White, Dubai,SE Plus,toyota,corolla
470999,7,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,,Grey, Dubai,TRX,dodge,ram
229900,70000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,Grey, Dubai,Xdrive35i,bmw,x6
34500,198000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2011.0,Black, Dubai,Limited MID,jeep,cherokee
64000,147474,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Brown, Abu Dhabi,SE,nissan,armada
133000,61186,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018.0,Red, Dubai,SS,chevrolet,camaro
64900,41016,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,SE,toyota,corolla
29000,200000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2010.0,Blue, Abu Dhabi,S-line,audi,q7
365000,100,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,White, Dubai,Other,toyota,land-cruiser
189999,67554,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2017.0,Other Color, Dubai,S 550,mercedes-benz,s-class
73900,102897,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,nissan,x-trail
260000,55320,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2020.0,Silver, Dubai,LE Platinum,nissan,patrol
114900,123225,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017.0,White, Dubai,Other,toyota,prado
132000,69210,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017.0,White, Dubai,Prado VXR,toyota,prado
299900,61500,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Luxury,audi,q8
180000,95000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2019.0,Black, Dubai,XL,gmc,yukon
19500,165000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2014.0,Silver, Dubai,Ambiente,ford,fiesta
123900,35315,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,Standard,infiniti,q50
47000,155000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2010.0,Blue, Dubai,Supercharged,land-rover,range-rover
268000,53186,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,2015.0,White, Dubai,G 63 AMG,mercedes-benz,g-class
26900,118325,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Ambiente,ford,figo
190000,33000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Hybrid,Left Hand Side,2020.0,Black, Dubai,Prestige,lexus,rx-series
35000,127000,Perfect inside and out,Perfect inside and out,Owner,Van,4,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,GL,hyundai,h1
39000,166000,Perfect inside and out,Perfect inside and out,Owner,Pick Up Truck,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2010.0,Brown, Dubai,1500 LT,chevrolet,silverado
97500,12000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,Silver, Dubai,XLE,toyota,rav-4
51000,211208,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2011.0,Brown, Dubai,S,porsche,cayenne
21500,15000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015.0,Black,Sharjah,S,nissan,sentra
369000,34555,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,European Specs,300 - 400 HP,Electric,Left Hand Side,2019.0,Silver, Dubai,Vogue,land-rover,range-rover
299000,3500,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,4,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,430i,bmw,4-series
21000,130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2012.0,Blue, Dubai,Ambiente,ford,focus
57000,124000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Blue, Dubai,Premium Luxury,jaguar,xf
127000,53076,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Abu Dhabi,Limited,jeep,grand-cherokee
83000,211500,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,White, Dubai,Turbo,porsche,cayenne
1085000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class
125000,148000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2017.0,White, Abu Dhabi,GX TOP,toyota,prado
89000,109000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015.0,White, Dubai,Vx-l MID,toyota,prado
748000,0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,Black, Dubai,RS,audi,rs6
33000,174000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009.0,Green,Abu Dhabi,Eddie Bauer + EL,ford,expedition
149500,24800,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,250,mercedes-benz,gla
45000,61000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,Blue, Sharjah,SX,kia,optima
61000,83000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,Sport,lexus,is-series
115000,100732,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,Black, Dubai,Other,land-rover,range-rover-evoque
565000,19039,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,RS,audi,s7rs7
618000,33000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2019.0,Grey, Dubai,S,mercedes-benz,gt
169000,91000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,GTS,maserati,quattroporte
575000,45875,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2016.0,Black, Dubai,G 500,mercedes-benz,g-class
1850000,30,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,10,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,2021.0,Green, Dubai,Other,lamborghini,huracan
309000,129,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2021.0,Blue, Dubai,Other,ford,bronco
124000,57432,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017.0,Green, Dubai,A 250,mercedes-benz,a-class
87900,40000,"No accidents, very few faults",Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,Orange, Dubai,SV,nissan,maxima
19000,265000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2012.0,White, Abu Dhabi,SL,nissan,altima
215000,118000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2016.0,Other Color, Abu Dhabi,GLE 63 S AMG,mercedes-benz,gle-coupe
56000,47479,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,3,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2018.0,Grey, Dubai,Allure,peugeot,2008
139000,187000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2010.0,Teal, Abu Dhabi,Other,bentley,continental-gt
475000,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,Other,400 - 500 HP,Gasoline,Left Hand Side,,Grey, Dubai,GLE 53 AMG,mercedes-benz,gle-coupe
55000,118000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015.0,White, Dubai,R Grade,mazda,6
49000,78000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2010.0,Silver, Dubai,E 350,mercedes-benz,e-class
409000,35000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2020.0,Black, Dubai,S,porsche,cayenne
49000,111000,Perfect inside and out,Perfect inside and out,Dealer,Van,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2017.0,Grey, Dubai,LE,toyota,sienna
65000,114000,"No accidents, very few faults",Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,GLS TOP,mitsubishi,pajero
198000,33000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017.0,Brown, Dubai,S,maserati,levante
135000,4700,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Super Safari,nissan,patrol
95000,144000,Perfect inside and out,Perfect inside and out,Owner,Pick Up Truck,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017.0,Grey, Dubai,1500 Z71,chevrolet,silverado
40000,96325,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015.0,White, Dubai,Other,hyundai,tucson
372000,2100,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,840i Gran Coupe,bmw,8-series
67000,120000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014.0,Brown, Dubai,730Li,bmw,7-series
